descripcion,categoria
UBER TRIP COD079353,Transporte
DEBITO AUTOMATICO AVANTEL,Servicios
PUMA ENERGY VISA,Transporte
PAGO ONLINE STEAM GAMES,Ocio
LATAM AIRLINES AUTORIZ 319009,Transporte
DEBITO AUTOMATICO PARQUE ARAUCO,Compras
PAGO ONLINE WOM FIBRA,Servicios
DOMINOS PIZZA SAN ISIDRO,Alimentación
ONLINE OLIMPICA,Alimentación
COD SURA SEGUROS,Servicios
CREDITO VIVIENDA COD781087,Vivienda
COMPRA TC CINEPLANET,Ocio
CFE PE,Servicios
MERCADO PAGO*BENIGNO,Otros
DAVIPLATA*NILO,Otros
PAGO ONLINE PANADERIA SAN JORGE,Alimentación
LATAM AIRLINES TARJETA 8095,Transporte
SUBTE BUENOS AIRES ROSARIO,Transporte
POS MERCADO LIBRE,Compras
COMPRA HBO MAX VITACURA,Ocio
TRX EDITORIAL SANTILLANA,Educación
MIFARMA AUT041547,Salud
DEBITO AUTOMATICO KARAOKE BOX,Ocio
RIPLEY ARGENTINA,Compras
SALCOBRAND NOV,Salud
COPPEL REF839886,Compras
ONLINE CLARO INTERNET,Servicios
NEQUI*SOLEDAD 005906,Alimentación
AT&T MEXICO TARJETA 5760,Servicios
INDIRVE AUTORIZ 941931,Transporte
COMPRA INTL UDEMY,Educación
RAPPI RESTUARANTE AUTORIZ 982005,Alimentación
KFC 28APR,Alimentación
ADMINISTRACION CONJUNTO RESIDENCIAL LIMA,Vivienda
DEBITO AUTOMATICO TERPEL,Transporte
TEATRO MUNICIPAL TARJTA 3828,Ocio
EPM OP978396,Servicios
NIKE STORE AUT810954,Compras
EDENOR MASTERCARD,Servicios
COMPRA WEB GAS NATURAL,Servicios
COMPRA POS TEMU,Compras
PRESTO AUT406706,Alimentación
TRX BATA,Compras
NRO OP 629932 SANTA F MALL,Compras
APP RETIRO CAJERO,Otros
DEB CLARO SHOP,Compras
COMPRA MERCADO SHOPS SANTIAGO,Compras
PAGO ONLINE PEAJE RUTAS DEL SOL,Transporte
DEBITO AUTOMATICO TAXI DATUM,Transporte
REF ZARA,Compras
CHEDRAUI MIRAFLORES,Alimentación
NIKE STORE REF800998,Compras
XBOX LIVE.COM,Ocio
COPA AIRLINES ABR,Transporte
GIRO INTERNACIONAL MIRAFLORES,Otros
MANTENIMIENTO TARJETA AUTORIZ 975372,Servicios
MAKRO STORE,Alimentación
COMPRA TC PARQUE DE LAS LEYENDAS,Ocio
DAVIPLATA*PACA,Alimentación
REF RAPPI RESTAURANTE,Alimentación
DEBITO AUTOMATICO COSTANERA CENTER,Compras
DAVIPLATA*BERNARDA,Servicios
LA POLAR LIMA,Compras
PAGO SERV PARAMOUNT PLUS,Ocio
COD PLAZA VEA SHOP,Compras
METRO CDMX SAN ISIDRO,Transporte
PLATZI QR,Educación
RETIRO PUMA ENERGY,Transporte
COMPRA CUOTA CONDOMINIO SAN ISIDRO,Vivienda
COMPRA WEB CARREFOUR,Alimentación
RETIRO DONACION ONG,Otros
PAGO YPF,Transporte
COMPRA WEB PEAJE RUTA,Transporte
DIDI VISA,Transporte
APP WOM,Servicios
DEB CONCIERTO LIVE NATION,Ocio
DB PAYLESS,Compras
TRX MAESTRO HOME CENTER,Vivienda
PAGO WOM,Servicios
METRO SANTIAGO MX,Transporte
PARQUE AARUCO*022850,Compras
ADMINISTRACION CONJUNTO RESIDENCIAL AUT747253,Vivienda
ALIEXPRESS MAR DEL PLATA,Compras
SUBWAY APROB096568,Alimentación
PAGO ALQUILER DEPARTAMENTO,Vivienda
CARREFOUR QR,Alimentación
COMPRA WEB PLAYSTATION SSTORE,Ocio
NINTENDO ESHOP AR,Ocio
ONLINE HOMECENTER,Vivienda
TRANSF A CHINA TOWN,Alimentación
APP SHEIN,Compras
TRX DUNKIN,Alimentación
DEB PRIMAX,Transporte
COMPRA TC NIKE STORE,Compras
MIFRAMA AUTORIZ 525531,Salud
IN DRIVER APROB966237,Transporte
MUNDO MARINO COD200109,Ocio
SEDAPAL MIRAFLORES,Servicios
7 ELEVEN.COM,Alimentación
PAGO ARRIENDO MASTERCARD,Vivienda
PAGO SERV PROMART HOME CENTER,Vivienda
BODYTECH GYM MIRAFLORES,Ocio
DOMINOS PIZZA MEXICO,Alimentación
CLARO INTERNET TARJETA 5728,Servicios
CHINA TOWN NOV,Alimentación
COOMEVA EPS MENDOZA,Servicios
PARQUE DE LAS LEYENDAS.COM,Ocio
PAGO JUAN VALDEZ,Alimentación
RETIRO EPM,Servicios
PAGO SERV JUAN VALDEZ,Alimentación
NRO OP 201679 PRESTO,Alimentación
COD ENTEL,Servicios
EDITORIAL SANTILLANA AUTORIZ 670214,Educación
YAPE*ALEJO,Servicios
YPF VISA,Transporte
MANTENIMIENTO TARJETA OP924811,Servicios
BATA #245823,Compras
D1 MIRAFLORES,Alimentación
GAS NATURAL 29/01/24,Servicios
COPEC MIRAFLORES,Transporte
CARGO DISCO,Alimentación
ONLINE PAYLESS,Compras
FARMACIA INKAFARMA COD646739,Salud
DEBITO AUTOMATICO MUSEO INTERACTIVO,Ocio
BODYTECH GYM TIJUANA,Ocio
TRANSF A TOTTUS,Alimentación
DAVIPLATA*JULIÁN,Alimentación
COMPRA BERSHKA LAS CONDES,Compras
PLAZA NORTE APROB820390,Compras
POS PAGO ARRIENDO,Vivienda
HOSPITAL ITALIANO*139499,Salud
RETIRO PARDOS CHICKEN,Alimentación
MOVISTAR FIBRA COD084728,Servicios
PLAZA VESTIR #487450,Compras
NRO OP 419690 ADMINISTRACION CONJUNTO RESIDENCIAL,Vivienda
COMPRA INTL SALCOBRAND,Salud
MIFARMA #736596,Salud
APPLE.COM SAN ISIDRO,Compras
COPPEL LIMA,Compras
CENTRO MEDICO SAN FELIPE QR,Salud
TRANSF A CROSSFIT BOX,Ocio
PLAZA VEA OP638927,Alimentación
GASCO.COM,Servicios
PAGO IN DRIVER,Transporte
PARKING PLUS 23-09-2024,Transporte
AT&T MEXICO AUTORIZ 600670,Servicios
COMPRA MCDONALDS CALI,Alimentación
PAGO ONLINE MAPFRE SEGUROS,Servicios
COD SORIANA,Alimentación
PAGO ONLINE TRANSANTIAGO,Transporte
METRO SANTIAGO*171137,Transporte
SODIMAC CONSTRUCCION MIRAFLORES,Vivienda
PARQUE DE LAS LEYENDAS #971416,Ocio
BITEL OP957155,Servicios
COMPRA TC WALMART,Alimentación
SEGUROS BOLIVAR #215324,Servicios
PAGO VARIOS QR,Otros
COD FALABELLA,Compras
RETIRO BATA,Compras
CARGO EDENOR,Servicios
TRX ADMINISTRACION EDIFICIO,Vivienda
MODO*ÁLVARO 990554,Alimentación
PAGO SERV BEMBOS,Alimentación
NRO OP 551460 CONSULTORIO DENTAL SONRIE,Salud
POS TOTTTUS,Alimentación
LIVERPOOL TARJETA 8884,Compras
COD COOMEVA EPS,Servicios
COMPRA TC INDRIVE,Transporte
INDRIVE SAN ISIDRO,Transporte
COMPRA ANALISIS CLINICOS UNIDOS CHICLAYO,Salud
CENCOSUD*753341,Compras
PLAZA VEA SHOP ENE,Compras
BAR EL BOTIJON LATAM,Ocio
WEB PAGO MATRICULA,Educación
ITUZAINGO PEAJE COD953686,Transporte
LIDER LIMA,Alimentación
COPMRA PAPA JOHNS MIRAFLORES,Alimentación
ENEL REF112240,Servicios
COMPRA BUS EJECUTIVO,Transporte
VEA SUPERMERCADO COLOMBIA,Alimentación
ML*COMPRA COD244455,Compras
MERCADO PAGO*AMOR,Alimentación
OSDE PREPAGA MIRAFLORES,Servicios
COMPRA INTL OPTICA GMO,Salud
DEB FARMACIA INKAFARMA,Salud
INMOBILIARIA CENTURY21 VISA,Vivienda
SPOTIFY MASTERCARD,Ocio
PAGO UNIVERSIDAD ANDES,Educación
COMPRA INTL DEPOSITO VARIOS,Otros
AGUAS ANDINAS MEXICO,Servicios
PAGO SERV PAPA JOHNS,Alimentación
COMPRA WEB ADIDAS STORE,Compras
COMPRA WEB GASCO,Servicios
PLIN*SELENA 826343,Servicios
COMPRA POS CREPES WAFFLES,Alimentación
FARMACIA BENAVIDES APROB125208,Salud
AUTOPISTA NORTE SAN ISIDRO,Transporte
TEMU SAN ISIDRO,Compras
APP ANTICUCHOS DON JORGE,Alimentación
FERRETERI EL TORNILLO CUSCO,Vivienda
ONLINE PAGO VARIOS,Otros
COMPRA POS PEMEX,Transporte
WOM APROB915797,Servicios
COMPRA TC SURA SEGUROS,Servicios
DISNEY PLUS LIMA,Ocio
PALACIO DE HIERRO ARGENTINA,Compras
DEBITO AUTOMATICO SIT MEDELLIN,Transporte
CARGO DENTAL PLUS,Salud
COMPRA CLINICA LAS AMERICAS SURCO,Salud
TAXI DATUM MASTERCARD,Transporte
PARKING PLUS #941600,Transporte
BUS EJECUTIVO STORE,Transporte
TICKETMASTER.COM,Ocio
COMPRA WEB PLAZAS EXITO ROPA,Compras
OPTICA GMO MIRAFLORES,Salud
SIT MEDELLIN SEP,Transporte
WEB PULL BEAR,Compras
PARAMOUNT PLUS AUT436404,Ocio
FALABELLA.COM,Compras
DEB EPM,Servicios
DUNKIN UN,Alimentación
DEBITO AUTOMATICO FARMACIA BENAVIDES,Salud
REF BURGER KING,Alimentación
GAS NATURAL APROB927409,Servicios
IZZI TELECOM AUTORRIZ 849565,Servicios
TRX SORIANA,Alimentación
SUBTE BUENOS AIRES*825850,Transporte
TERPEL STORE,Transporte
APP ENTEL,Servicios
COMPRA POS PETROPERU,Transporte
SUBTE BUENOS AIRES Q,Transporte
PLAYSTATION STORE TARJETA 6290,Ocio
PARQUE DE LAS LEYENDAS LATAM,Ocio
NORKYS*505397,Alimentación
COMPRA WEB METRO,Alimentación
COMPRA POS SUBTE BUENOS AIRES,Transporte
UNIVERSIDAD PACIFICO OP118598,Educación
CREDITO VIVIENDA TARJETA 4361,Vivienda
ZARA 02MAY,Compras
CONSULTORIO DENTAL SONRIE APROB676447,Salud
HOSPITAL ITALIANO VISA,Salud
SUBWAY OP405196,Alimentación
APP YOUTUBE PREMIUM,Ocio
WOM AUT442309,Servicios
EXITO MASTERCARD,Alimentación
COMPRA AGUAS ANDINAS PUEBLA,Servicios
PAGO COSTANERA CENTER,Compras
FARMATODO VISA,Salud
LA COMER 15/07,Alimentación
LA REBAJA VIRTUAL.COM,Salud
TRX SEGUROS BOLIVAR,Servicios
CINEMARK QR,Ocio
APPLE.COM*728422,Compras
MAKRO MENDOZA,Alimentación
COMPRA POS WONG,Alimentación
DEB PLAZA NORTE,Compras
DEB SWISS MEDICAL,Servicios
MERCADO PAGO*IBÁN,Alimentación
FRISBY LIMA,Alimentación
PRESTO AUTORIZ 316630,Alimentación
YAPE*JOAN,Alimentación
CEVICHERIA EL RINCON VISA,Alimentación
TRX UBER EATS,Alimentación
COMPRA POS DISNEY PLUS,Ocio
COMPRA TC WOM FIBRA,Servicios
LABORATORIO CLINICO ROCHE QR,Salud
PAGO ONLINE SPORTLIFE GYM,Ocio
PAGO SERV ALLIANZ SEGUROS,Servicios
DB FARMATODO,Salud
PGO ONLINE STEAM GAMES,Ocio
PAGO ONLINE CONSULTORIO DENTAL SONRIE,Salud
DB CENCOSUD,Compras
LIVERPOOL TARJETA 4886,Compras
DEBITO AUTOMATICO COOMEVA EPS,Servicios
WEB ALQUILER DEPARTAMENTO,Vivienda
APP SODIMAC CONSTRUCCION,Vivienda
SUBTE BUENOS AIRES MIRAFLORES,Transporte
PAGO ONLINE LABORATORIO ROE,Salud
YPF #130579,Transporte
PAGO CONSULTORIO DENTAL SONRIE,Salud
STEAM GAMES.COM,Ocio
TERPEL*156913,Transporte
PEMEX APROB039051,Transporte
MERCADO PAGO*LÁZARO 866197,Alimentación
AMAZON LATAM,Compras
PLIN*CAYETANO,Alimentación
TRANSMILENIO AUT009141,Transporte
COMPRA WEB KFC,Alimentación
ZARA #272359,Compras
TRANSF A PARAMOUNT PLUS,Ocio
SPORTLIFE GYM MASTERCARD,Ocio
PERSONAL ARG PE,Servicios
NRO OP 535330 MAKRO,Alimentación
WEB RIPLEY,Compras
MANNTTO CONJUNTO STORE,Vivienda
APGO TERPEL,Transporte
PAGO POLLERIA NORKYS,Alimentación
SANTA ISABEL MEXICO,Alimentación
COPA AIRLINES MASTERCARD,Transporte
CEVICHERIA EL RINCON APROB646977,Alimentación
KARAOKE BOX COD432426,Ocio
COMPRA WEB VEA SUPERMERCADO,Alimentación
DOMINOS PIZZA LIMA,Alimentación
PERSONAL ARG CALI,Servicios
OXXO AUT314604,Alimentación
PAGO ONLINE YPF,Transporte
CINEPOLIS #666523,Ocio
ONLINE AEROMEXIO,Transporte
AVIANCA COD229885,Transporte
APP BURGER KING,Alimentación
TICKETMASTER MASTERCARD,Ocio
COMPRA ML*COMPRA BUCARAMANGA,Compras
COMPRA TC FARMACIA INKAFARMA,Salud
SANCOR SEGUROS VISA,Servicios
COMPRA POS PROMART HOME CENTER,Vivienda
OPTICA GMO*037554,Salud
PAGO HIPOTECARIO APROB373617,Vivienda
WEB MASSIMO DUTTI,Compras
NINTENDO ESHOP AGO,Ocio
DEB MUNDO MARINO,Ocio
COMPRA ICPNA,Educación
SAGA FALLABELLA AUTORIZ 635842,Compras
YPF PE,Transporte
NETFLIX.COM #259750,Ocio
HOMECENTER.COM,Vivienda
BURGER KING LATAM,Alimentación
SHEIN SAN ISIDRO,Compras
COMPRA COPA AIRLINES SURCO,Transporte
POS RIPLEY,Compras
LIBRERIA GANDHI OP913709,Educación
SODIMAC CONSTRUCCION*550200,Vivienda
COMPRA LABORATORIO CLINICO ROCHE,Salud
COMPRA POS BAR EL BOTIJON,Ocio
DEB BAR EL BOTIJON,Ocio
RETIRO MAESTRO HOME CENTER,Vivienda
RETIRO PEAJE RUTAS DEL SOL,Transporte
COMPRA MANTENIMIENTO TARJETA MAR DEL PLATA,Servicios
SANTA FE MALL ENE,Compras
TOTTUS 30-03-2025,Alimentación
PARAMOUNT PLUS REF461934,Ocio
COD PULL BEAR,Compras
PEAJE RUTA #742113,Transporte
SEDAPAL VISA,Servicios
SIT MEDELLIN 30/05,Transporte
DEBITO AUTOMATICO ALIEXPRESS,Compras
WEB ESTACIONAMIENTO,Transporte
HOSPITAL ITALIANO MASTERCARD,Salud
TEATRO MUNICIPAL SAN ISIDRO,Ocio
TRX HOSPITAL ANGELES,Salud
PULL BEAR PE,Compras
TOTTUS CHILE 07/06,Alimentación
PERSONAL ARG 21JUN,Servicios
HOMECENTER REF961133,Vivienda
ONLINE WOM,Servicios
RIMAC SEGUROS JUN,Servicios
PAGO ARRIENDO STORE,Vivienda
COPEC JUN,Transporte
PLIN*REYNALDO,Alimentación
PAGO PENSION COLEGIO AUTORIZ 979097,Educación
MANTTO CONJUNTO #405255,Vivienda
ZARA #796483,Compras
CINEPLANET #009975,Ocio
INMOBILIARIA CENTURY21 REF657113,Vivienda
COPA AIRLINES STORE,Transporte
AT&T MEXICO #899699,Servicios
LABORATORIO ROE 14MAR,Salud
PEDIDOSYA NOV,Alimentación
EBAY MIRAFLORES,Compras
TRX UBER TRIP,Transporte
MERCADO LIBRE TARJETA 3852,Compras
PAGO ONLINE CENTRO MEDICO SAN FELIPE,Salud
XBOX LIVE APROB079858,Ocio
CREDITO VIVIENDA COLOMBIA,Vivienda
COMPRA TC ITUZAINGO PEAJE,Transporte
SWISS MEDICAL COD315635,Servicios
MAKRO LIMA,Alimentación
NRO OP 339996 DEEZER,Ocio
COMPRA POS LA POLAR,Compras
DEB AMZN MKTPLACE,Compras
RIPLEY STORE,Compras
POS FARMACIAS DEL AHORRO,Salud
RETIRO SWISS MEDICAL,Servicios
NEQUI*NOEMÍ,Servicios
SIT MEDELLIN MIRAFLORES,Transporte
SHEIN AUT166439,Compras
NRO OP 955364 SALCOBRAND,Salud
LA COMER AUTORIZ 784896,Alimentación
DB SEGUROS BOLIVAR,Servicios
REF PAGO PENSION UNIVERSIDAD,Educación
SHEIN APROB630053,Compras
AMZN MKTPLACE LIMA,Compras
BITEL LIMA,Servicios
COD AT&T MEXICO,Servicios
RETIRO TEMU,Compras
POS CONSULTORIO DENTAL SONRIE,Salud
CENTRO MEDICO SAN FELIPE*046914,Salud
COMPRA POS LABORATORIO ROE,Salud
DB MUSEO INTERACTIVO,Ocio
OPTICA GMO STORE,Salud
AMAZON PRIME VIDEO 09-03-2025,Ocio
XBOX LIVE LIMA,Ocio
RETIRO BOLETERIA JOINNUS,Ocio
METRO AGO,Alimentación
APP G500,Transporte
ONLINE NETFLIX.COM,Ocio
PAGO UBER TRIP,Transporte
REPSOL VISA,Transporte
COMPRA POS WOM,Servicios
TRANSF A EASY CONSTRUCCION,Vivienda
TRANSFERENCIA VARIOS 13/05,Otros
VTR #489788,Servicios
AUTOPISTA NORTE MIRAFLORES,Transporte
RETIRO DIA,Alimentación
REF SHELL,Transporte
NRO OP 697460 BODYTECH GYM,Ocio
NRO OP 880177 TRANSANTIAGO,Transporte
RETIRO ITUZAINGO PEAJE,Transporte
FARMACIA BENAVIDES AUTORIZ 545262,Salud
COD PAYLESS,Compras
UNIMARC STORE,Alimentación
YAPE*GASPAR,Servicios
PAGO ONLINE SODIMAC CONSTRUCCION,Vivienda
TRANSF A PEMEX,Transporte
CHEDRAUI COD315300,Alimentación
COMPRA DISNEY PLUS MENDOZA,Ocio
FARMACIA BENAVIDES TARJETA 1459,Salud
NIKE STORE MASTERCARD,Compras
CLARO INTERNET OP044198,Servicios
MERCADO LIBRE MASTERCARD,Compras
COMPRA ALIEXPRESS VALPARAISO,Compras
TRX TEATRO MUNICIPAL,Ocio
POS LINKEDIN LEARNING,Educación
CASA DE CAMBIO MASTERCARD,Otros
TRX HBO MAX,Ocio
COMPRA POS RIMAC SEGUROS,Servicios
REF PLATZI,Educación
DIA AUTORIZ 245393,Alimentación
DAVIPLATA*LUISINA 114600,Alimentación
SANTA ISABEL MIRAFLORES,Alimentación
TIGO SAN ISIDRO,Servicios
ONLINE FRISBY,Alimentación
NRO OP 579582 SWISS MEDICAL,Servicios
NRO OP 424308 PLAYCENTER,Ocio
LIVERPOOL AUT551113,Compras
PAYLSES LATAM,Compras
GASCO OP667040,Servicios
COMPRA COOMEVA EPS MIRAFLORES,Servicios
TRANSF A HOSPITAL ANGELES,Salud
DAVIPLATA*EULALIA,Servicios
PAGO SERV OLIMPICA,Alimentación
EPM LATMA,Servicios
SANTA FE MALL*410826,Compras
TRANSF A ITUZAINGO PEAJE,Transporte
NRO OP 768167 CUOTA CONDOMINIO,Vivienda
FARMACIA INKAFARMA COD919705,Salud
PAGO SERV INMOBILIARIA CENTURY21,Vivienda
RAPPI RESTAURANTE DIC,Alimentación
TRANSF A CRUZ VERDE,Salud
ML*COMPRA PE,Compras
EBAY STORE,Compras
D1 APROB385176,Alimentación
SAGA FALABELLA LIMA,Compras
TOTTUS CHILE #573406,Alimentación
ICPNA*319207,Educación
REF CHILIS,Alimentación
SORIANA ENVIGADO,Alimentación
ZARA 26-06-2024,Compras
GIRO INTERNACIONAL 27APR,Otros
FALABELLA SAN ISIDRO,Compras
ONLINE CRUZ VERDE,Salud
ENTE LCOD682938,Servicios
TRX SHELL,Transporte
PERSONAL ARG #998666,Servicios
COMPRA INTL CRUZ VERDE,Salud
CINEPLANET REF264114,Ocio
COPPEL MASTERCARD,Compras
CLARO SHOP AGO,Compras
APPLE TV PLUS CALI,Ocio
REF COPEC,Transporte
REF SAGA FALABELLA,Compras
PAPA JOHNS OCT,Alimentación
CEVICHERIA EL RINCON 16/02,Alimentación
NRO OP 607751 ADMINISTRACION EDIFICIO,Vivienda
ONLINE MERCADO SHOPS,Compras
D1 MASTERCARD,Alimentación
OSDE PREPAGA STORE,Servicios
NEQUI*CEBRIÁN,Alimentación
MAX.COM ENE,Ocio
POS PEAJE RUTAS DEL SOL,Transporte
PARQUE EXPLORA.COM,Ocio
UNIVERSDIAD ANDES LIMA,Educación
INDRIVE AUTORIZ 048518,Transporte
UNIMARC TARJETA 8642,Alimentación
PAGO HIPOTECARIO TARJETA 9919,Vivienda
YAPE*PLINIO,Alimentación
SORIANA COD486855,Alimentación
IBERDROLA TARJETA 1850,Servicios
CARGO CONCIERTO LIVE NATION,Ocio
PLAYSTATION STORE OP023159,Ocio
RTIRO NIKE STORE,Compras
PAGO ARRIENDO APROB284059,Vivienda
SODIMAC CONSTRUCCION AUTORIZ 794146,Vivienda
VIVANDA LIMA,Alimentación
RETIROO PAGO PENSION COLEGIO,Educación
UBER TRIP AUT371495,Transporte
COMPRA WEB DISCOTECA CLUB,Ocio
COMPRA POS CROSSFIT BOX,Ocio
WEB VIVANDA,Alimentación
CLINICA SHAIO VISA,Salud
EBAY SAN ISIDRO,Compras
DISCOTECA CLUB.COM,Ocio
NETFLIX.COM LATAM,Ocio
REF OPTICA LA INES,Salud
REF PEAJE RUTAS DEL SOL,Transporte
DB SEARS,Compras
SWISS MEDICAL OP687051,Servicios
PAGO ONLINE ADMINISTRACION EDIFICIO,Vivienda
ML*COMPRA MASTERCARD,Compras
PAGO SERV AMZN MKTPLACE,Compras
CLINICA LAS AMERICAS LATAM,Salud
COMPRA PLAYSTATION STORE,Ocio
DB CRISTAL,Alimentación
INSTITUTO CIBERTEC COD605336,Educación
COMPRA INTL CONSULTORIO DENTAL SONRIE,Salud
ONLINE CLINICA SANNA,Salud
DEB FARMACIA SIMILARES,Salud
PEAJE RUTAS DEL SOL SAN ISIDRO,Transporte
TRANSF A AMAZON,Compras
DEBITO AUTOMATICO MASSIMO DUTTI,Compras
TRANSF A TICKETMASTER,Ocio
GYM SMARTFIT OP113551,Ocio
PAGO HIPOTECARIO AUT110062,Vivienda
POS 500,Transporte
DEB RIPLEY,Compras
PAGO CINE COLOMBIA,Ocio
COMPRA WEB ALQUILER DEPARTAMENTO,Vivienda
CLARO INTERNET AR,Servicios
CHILIS AUTORIZ 464604,Alimentación
LABORATORIO ROE VISA,Salud
COMPRA AMZN MKTPLACE BOGOTA,Compras
INMOBILIARIA CENTURY21 10MAR,Vivienda
ONLINE AUTOPISTA NORTE,Transporte
COD ESTACIONAMIENTO,Transporte
DIDI FOOD STORE,Alimentación
LUZ DEL SUR AUT103643,Servicios
MAPFRE SEGUROS TARJETA 6152,Servicios
TOTTUS QR,Alimentación
FARMACIA SIMILARES 01AUG,Salud
CRISTAL CHILE,Alimentación
CRUZ DEL SUR BUENOS AIRES,Transporte
BOLETERIA JOINNUS DIC,Ocio
RETIRO CAJERO SAN ISIDRO,Otros
TRX LATAM AIRLINES,Transporte
NORKYS.COM,Alimentación
PAGO ONLINE EBAY,Compras
POS PLAZA NORTE,Compras
PAGO PARKING PLUS,Transporte
NETFLIX.COM AUT132626,Ocio
CARGO ADMINISTRACION EDIFICIO,Vivienda
FRISBY STORE,Alimentación
PAGO SERV PROMATR HOME CENTER,Vivienda
DOMINOS PIZZA STORE,Alimentación
AVIANCA OP589385,Transporte
DIDI FOOD.COM,Alimentación
DEBITO AUTOMATICO PORTES BANCARIOS,Servicios
COMPRA LINKEDIN LEARNING,Educación
SHEIN STORE,Compras
DEBITO AUTOMATICO PLAZA VESTIR,Compras
NORKYS AUTORIZ 346130,Alimentación
POS UNIVERSIDAD PACIFICO,Educación
TRANSMILENIO LIMA,Transporte
TRX GYM SMARTFIT,Ocio
COMPRA INTL COURSERA,Educación
TRX INMOBILIARIA CENTURY21,Vivienda
COMPRA WEB 7 ELEVEN,Alimentación
CMPRA INTL WONG,Alimentación
REF PLAZA VESTIR,Compras
COD PLAYSTATION STORE,Ocio
EPM CO,Servicios
NORKYS*562525,Alimentación
APP MERCADOLIBRE,Compras
COD FARMACIA GUADALAJARA,Salud
PERSONAL AR.GCOM,Servicios
PANADERIA SAN JORGE #769033,Alimentación
OECHSLE PERU,Compras
REF IZZI TELECOM,Servicios
UDEMY.COM,Educación
COMPRA INTL METRO DE LIMA,Transporte
CREDITO VIVIENDA SAN ISIDRO,Vivienda
DB CLINICA SHAIO,Salud
ALQUILER DEPARTAMENTO.COM,Vivienda
TRUPER FERRETERIA 20/06,Vivienda
PAGO SERV LABORATORIO CLINICO ROCHE,Salud
PAGO ONLINE INSTITUTO CIBERTEC,Educación
CARGO JOCKEY PLAZA,Compras
ONLINE UNIVERSIDAD ANDES,Educación
TRANSFERENCIA VARIOS SAN ISIDRO,Otros
RETIRO CNE COLOMBIA,Ocio
CARGO PRIMAX,Transporte
COD HOMECENTER,Vivienda
LINKEDIN LEARNING #731980,Educación
VIVANDA*724435,Alimentación
REF TEMU,Compras
COMPRA WEB MAESTRO HOME CENTER,Vivienda
APP CEVICHERIA EL RINCON,Alimentación
DUOLINGO PLUS.COM,Educación
CARGO AMAZON PRIME VIDEO,Ocio
PROMART HOME CENTER VISA,Vivienda
COMPRA TC SORTEO LOTERIA,Otros
ANALISIS CLINICOS UNIDOS TIJUANA,Salud
CLINICA RICARDO PALMA LIMA,Salud
PETROPERU VISA,Transporte
CRISTAL APROB703062,Alimentación
DIDI FOOD MIRAFLORES,Alimentación
CRUZ DEL SUR MIRAFLORES,Transporte
CINEPOLIS AUT237981,Ocio
DEBITO AUTOMATICO SODIMAC CONSTRUCCION,Vivienda
PAGO ARRIENDO REF654391,Vivienda
DB TERPEL,Transporte
COMPRA TC LABORATORIO ROE,Salud
RETIRO SEARS,Compras
HOSPITAL ANGELES MIRAFLORES,Salud
TRANSANTIAGO MIRAFLORES,Transporte
DISCO LIMA,Alimentación
CHINA TOWN MASTERCARD,Alimentación
COMPRA INTL DUOLINGO PLUS,Educación
PARQUE EXPLORA MIRAFLORES,Ocio
BURGER KING ARGENTINA,Alimentación
DEB CINEMARK,Ocio
COMPRA INTL CREDITO VIVIENDA,Vivienda
ONLINE DOMINOS PIZZA,Alimentación
SIT MEDELLIN SAN ISIDRO,Transporte
COMPRA RIPLEY BUENOS AIRES,Compras
MAX.COM QR,Ocio
COPA AIRLINES SANTIAGO,Transporte
RIPLEY 16-01-2025,Compras
PAGO ONLINE SAGA FALABLELA,Compras
CARGO FALABELLA,Compras
METRO DE LIMA STORE,Transporte
ML*COMPRA #054274,Compras
CARGO GAS NATURAL,Servicios
CRUZ DEL SUR TARJETA 8776,Transporte
PARDOS CHICKEN MAR,Alimentación
DEB JUAN VALDEZ,Alimentación
COPEC*858661,Transporte
DEB SEARS,Compras
PAGO ONLINE UNIVERSIDAD ANDES,Educación
DEBITO AUTOMATICO CLINICA RICARDO PALMA,Salud
COMPRA ADIDAS STORE,Compras
PLAYCENTER LATAM,Ocio
BEMBOS*697711,Alimentación
CENCOSUD REF796377,Compras
REF SHEIN,Compras
COMPRA G500 GUADALAJARA,Transporte
AVIANCA COLOMBIA,Transporte
RIMAC SEGUROS #074438,Servicios
COMPRA PLAZA VESTIR QUERETARO,Compras
HOSPITAL ANGELES COD002901,Salud
STARBUCKS OP287429,Alimentación
LA POLAR #790629,Compras
PLIN*FELIX 019005,Servicios
COMPRA INTL MASSIMO DUTTI,Compras
PRESTO MEXICO,Alimentación
PAGO TAXI DATUM,Transporte
HOSPITAL ANGELES AUT440139,Salud
MANTENIMIENTO TARJETA COD131959,Servicios
COMPRA SEARS CUSCO,Compras
SANTA FE MALL #555124,Compras
COMPRA TC JOCKEY PLAZA,Compras
COMPRA POS PLAZA VEA,Alimentación
DISCOTECA CLUB*790149,Ocio
DOMINOS PIZZA 03NOV,Alimentación
MERCADO HOPS MIRAFLORES,Compras
PEMEX AUT556165,Transporte
SPOTIFY TARJETA 8642,Ocio
FARMACIAS DEL AHORRO NOV,Salud
SIT MEDELLIN AUT059217,Transporte
DB CREDITO VIVIENDA,Vivienda
TRANSF A PETROPERU,Transporte
VIVANDA*041615,Alimentación
PAGO SERV INSTITUTO CIBERTEC,Educación
PALACIO DE HIERRO OP825524,Compras
SANTA FE MALL AUT985136,Compras
DUNKIN QR,Alimentación
